id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.000000,0.130000,0.000000,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.000000,0.247000,0.000000,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.000000,0.352300,0.000000,0.750000,0.150000
1,0,-8.963535,1.000000,0.352300,0.000000,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941182,-1.000000,0.447070,0.000000,0.750000,0.200000
1,0,-8.941182,1.000000,0.447070,0.000000,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914563,-1.000000,0.532363,0.000000,0.750000,0.250000
1,0,-8.914563,1.000000,0.532363,0.000000,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.884107,-1.000000,0.609127,0.000000,0.750000,0.300000
1,0,-8.884107,1.000000,0.609127,0.000000,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.850196,-1.000000,0.678214,0.000000,0.750000,0.350000
1,0,-8.850196,1.000000,0.678214,0.000000,0.750000,0.350000
2,1,-0.149804,0.000000,-0.678214,0.000000,0.750000,0.350000
0,0,-8.813177,-1.000000,0.740393,0.000000,0.750000,0.400000
1,0,-8.813177,1.000000,0.740393,0.000000,0.750000,0.400000
2,1,-0.186823,0.000000,-0.740393,0.000000,0.750000,0.400000
0,0,-8.773359,-1.000000,0.796353,0.000000,0.750000,0.450000
1,0,-8.773359,1.000000,0.796353,0.000000,0.750000,0.450000
2,1,-0.226641,0.000000,-0.796353,0.000000,0.750000,0.450000
0,0,-8.731157,-1.000120,0.844035,-0.002400,0.750000,0.500000
1,0,-8.731157,1.000120,0.844035,0.002400,0.750000,0.500000
2,1,-0.268843,0.000120,-0.844035,0.002400,0.750000,0.500000
0,0,-8.686943,-1.000477,0.884276,-0.007137,0.750000,0.550000
1,0,-8.686954,1.000477,0.884069,0.007134,0.750000,0.550000
2,1,-0.313046,-0.000021,-0.884069,-0.002816,0.750000,0.550000
0,0,-8.641047,-1.001164,0.917926,-0.013743,0.750000,0.600000
1,0,-8.641052,1.001165,0.918035,0.013776,0.750000,0.600000
